Date,power,mains:reactive_power
2019-10-25,838.666275157058,169.866055719673
2019-10-26,559.853148622688,121.292732187499
2019-10-27,268.126741909724,99.1205508449094
2019-10-28,211.64130400462,80.3637153472227
2019-10-29,338.828691758801,111.488383596958
2019-10-30,465.964543784726,107.333526313659
2019-10-31,450.739695494954,122.476722662
2019-11-01,691.122895335648,201.366620057874
2019-11-02,564.090973992815,137.213162254154
2019-11-03,342.387745924829,141.979480587336
2019-11-04,546.650746979814,147.732975718811
2019-11-05,464.036024866161,183.315232470837
2019-11-06,557.282491534528,191.373576066157
2019-11-07,274.216163058559,-20.3528501349429
2019-11-08,434.48505001411,153.242689474832
2019-11-09,417.854113301912,145.824602561784
2019-11-10,276.394946149626,110.144196048066
2019-11-11,413.564332906361,148.031799672357
2019-11-12,201.459559577014,60.443361193831
2019-11-13,297.962743673778,49.9513785771362
2019-11-14,637.498511167112,223.906767624567
2019-11-15,207.442577118053,67.5850972916648
2019-11-16,424.305578112775,137.164218109051
2019-11-17,386.615757423982,129.053325516418
2019-11-18,286.694392489626,97.647301236673
2019-11-19,646.487953073767,219.825433883164
2019-11-20,477.594157828375,146.15560853071
2019-11-21,666.037967657431,176.030423589781
2019-11-22,289.724374432874,98.4546613194398
2019-11-23,277.608790856479,85.2569106828734
2019-11-24,168.760145165892,39.2107704397042
2019-11-25,414.894206317117,127.84229344107
